項次,出入口名稱,出入口編號,經度,緯度,地址,市,行政區域
5,松山機場站出口1,1,121.552335,25.063717,台灣台北市松山區敦化北路340-9號,台北市,松山區
9,忠孝復興站出口1,1,121.543143,25.041797,台灣台北市大安區忠孝東路三段302號忠孝復興站,台北市,大安區
14,大安站出口1,1,121.541949,25.033508,台灣台北市大安區信義路四段2號大安站,台北市,大安區
27,動物園站出口1,1,121.579916,24.99825,台灣台北市文山區台北市文山區,台北市,文山區
29,大直站出口1,1,121.547104,25.080118,台灣台北市中山區大直站,台北市,中山區
32,劍南路站出口1,1,121.555226,25.085174,台灣台北市中山區北安路809號,台北市,中山區
35,西湖站出口1,1,121.566647,25.082339,台灣台北市內湖區內湖路一段285號2號,台北市,內湖區
37,港墘站出口1,1,121.57556,25.080152,台灣台北市內湖區內湖路一段661號,台北市,內湖區
39,文德站出口1,1,121.58563999999998,25.078671,台灣台北市內湖區文德站,台北市,內湖區
41,內湖站出口1,1,121.594266,25.083745,台灣台北市內湖區成功路四段186號,台北市,內湖區
43,大湖公園站出口1,1,121.602377,25.083894,台灣台北市內湖區大湖公園站,台北市,內湖區
45,葫洲站出口1,1,121.608047,25.072638,台灣台北市內湖區康寧路三段51號,台北市,內湖區
47,東湖站出口1,1,121.611129,25.067218,台灣台北市內湖區康寧路三段捷運東湖站,台北市,內湖區
50,南港軟體園區站出口1,1,121.615817,25.059995,台灣台北市南港區捷運南港軟體園區站,台北市,南港區
52,南港展覽館站出口1,1,121.616936,25.055847,台灣台北市南港區南港路一段34號,台北市,南港區
72,景美站出口1,1,121.540933,24.992296,台灣台北市文山區台9線389號,台北市,文山區
75,萬隆站出口1,1,121.538896,25.001367,台灣台北市文山區羅斯福路五段236巷1弄240號,台北市,文山區
79,公館站出口1,1,121.534377,25.014509,台灣台北市中正區台9線72號,台北市,中正區
83,台電大樓站出口1,1,121.528577,25.01962,台灣台北市中正區辛亥路一段43巷9號,台北市,中正區
88,古亭站出口1,1,121.522973,25.025976,台灣台北市中正區羅斯福路二段138號,台北市,中正區
97,中正紀念堂站出口1,1,121.517764,25.033034,台灣台北市中正區羅斯福路一段6號,台北市,中正區
104,小南門站出口1,1,121.509752,25.036434,台灣台北市中正區愛國西路110號,台北市,中正區
116,台大醫院站出口1,1,121.515731,25.040913,台灣台北市中正區台大醫院站,台北市,中正區
128,雙連站出口1,1,121.520588,25.057499,台灣台北市大同區民生西路47號雙連站,台北市,大同區
130,民權西路站出口1,1,121.519454,25.062641,台灣台北市中山區民權西路72號,台北市,中山區
140,圓山站出口1,1,121.520033,25.070785,台灣台北市大同區酒泉街9之1號圓山,台北市,大同區
142,劍潭站出口1,1,121.525175,25.08503,台灣台北市士林區捷運劍潭站(基河),台北市,士林區
145,士林站出口1,1,121.525966,25.094106,台灣台北市士林區士林站,台北市,士林區
147,芝山站出口1,1,121.522636,25.102046,台灣台北市士林區福國路70號芝山站,台北市,士林區
149,明德站出口1,1,121.519153,25.109298000000006,台灣台北市北投區明德路95號明德站,台北市,北投區
152,石牌站出口1,1,121.515171,25.115007,台灣台北市北投區石牌路一段200號,台北市,北投區
154,唭哩岸站出口1,1,121.506987,25.120673,台灣台北市北投區東華街二段301號捷運唭哩岸站,台北市,北投區
157,北投站出口1,1,121.49824,25.132316,台灣台北市北投區光明路1號北投站,台北市,北投區
159,新北投站出口1,1,121.503524,25.136968,台灣台北市北投区七星街10號,台北市,北投区
162,復興崗站出口1,1,121.485373,25.137665,台灣台北市北投區中央北路三段53巷10號,台北市,北投區
163,忠義站出口1,1,121.473169,25.131056,台灣台北市北投區中央北路四段303號,台北市,北投區
165,關渡站出口1,1,121.467215,25.125431,台灣台北市北投區大度路三段296巷51號,台北市,北投區
204,龍山寺站出口1,1,121.49953,25.035484,台灣台北市萬華區台北市 萬華區峨嵋街107號1樓,台北市,萬華區
207,善導寺站出口1,1,121.523009,25.045097,台灣台北市中正區忠孝東路1段58號善導寺站,台北市,中正區
216,忠孝新生站出口1,1,121.531829,25.042784,台灣台北市大安區新生南路一段67號10652忠孝新生站,台北市,大安區
220,忠孝敦化站出口1,1,121.550578,25.041642,台灣台北市大安區忠孝東路四段175-1號,台北市,大安區
228,國父紀念館站出口1,1,121.556663,25.041838,台灣台北市信義區忠孝東路四段400號國父紀念館站,台北市,信義區
233,市政府站出口1,1,121.565459,25.041408,台灣台北市信義區忠孝東路11號,台北市,信義區
237,永春站出口1,1,121.57512,25.040995,台灣台北市信義區永春站,台北市,信義區
242,後山埤站出口1,1,121.58141,25.044422,台灣台北市南港區後山埤站,台北市,南港區
246,昆陽站出口1,1,121.592726,25.050319,台灣台北市南港區昆陽站,台北市,南港區
250,南港站出口1,1,121.606357,25.051911,台灣台北市南港區捷運南港站,台北市,南港區
252,象山站出口1,1,121.569394,25.033025,台灣台北市信義區象山站,台北市,信義區
255,台北101/世貿站出口1,1,121.561671,25.033107,台灣台北市信義區信義路五段20號,台北市,信義區
260,信義安和站出口1,1,121.552602,25.033377,台灣台北市大安區信義路四段信義安和站,台北市,大安區
266,大安森林公園站出口1,1,121.534442,25.033693,台灣台北市大安區信義路三段100號大安森林公園站,台北市,大安區
292,大橋頭站出口1,1,121.512319,25.06318,台灣台北市大同區民權西路223號,台北市,大同區
296,中山國小站出口1,1,121.526095,25.06284,台灣台北市中山區捷運中山國小站,台北市,中山區
300,行天宮站出口1,1,121.533004,25.058316,台灣台北市中山區松江路220號8號,台北市,中山區
304,東門站出口1,1,121.527994,25.034157,台灣台北市中正區信義路二段135號,台北市,中正區
327,南京復興站出口1,1,121.542121,25.052625,台灣台北市中山區遼寧街口,台北市,中山區
335,中山站出口1,1,121.520303,25.052414,台灣台北市中山區南京西路16號中山站,台北市,中山區
341,西門站出口1,1,121.507566,25.042137,台灣台北市中正區寶慶路32-1號捷運西門站,台北市,中正區
347,松江南京站出口1,1,121.53238799999998,25.051842,台灣台北市中山區南京東路二段114號,台北市,中山區
355,北門站出口1,1,121.509862,25.048737,台灣台北市大同區塔城街2-1號,台北市,大同區
358,台北小巨蛋站出口1,1,121.55153,25.051836,台灣台北市松山區南京東路4段10之1號台北小巨蛋站,台北市,松山區
363,南京三民站出口1,1,121.563643,25.051517,台灣台北市松山區南京東路五段171號,台北市,松山區
367,松山站出口1,1,121.577022,25.050171,台灣台北市松山區八德路四段715號,台北市,松山區
